"2015-06-19T16:07:36.112048-05:00 radius1.big.campus.edu radius.auth1[1272]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 8C-3A-E3-97-67-37 via 172.21.128.204:00-90-0B-28-86-97:CampusNet id 4 (0s wait, 0s elapsed, 0s total)"
"2015-06-19T15:25:25.089464-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 244 (0s wait, 0s elapsed, 0s total)"
"2015-06-19T15:13:47.895996-05:00 radius6.big.campus.edu radius.auth2[16448]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 188 (0s wait, 0s elapsed, 0s total)"
"2015-06-19T14:34:57.701240-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 55 (0s wait, 0s elapsed, 0s total)"
"2015-06-19T14:09:52.328669-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 238 (0s wait, 0s elapsed, 0s total)"
"2015-06-19T14:09:03.400205-05:00 radius6.big.campus.edu radius.auth2[16448]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 246 (0s wait, 0s elapsed, 0s total)"
"2015-06-19T13:42:18.562714-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 132 (0s wait, 0s elapsed, 0s total)"
"2015-06-19T12:54:40.610525-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 125 (0s wait, 0s elapsed, 0s total)"
"2015-06-19T12:28:56.317699-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 70 (0s wait, 0s elapsed, 0s total)"
"2015-06-19T12:26:38.918978-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 136 (0s wait, 0s elapsed, 0s total)"
"2015-06-19T11:55:43.933208-05:00 radius6.big.campus.edu radius.auth2[16448]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 72 (0s wait, 0s elapsed, 0s total)"
"2015-06-19T11:53:20.662502-05:00 radius6.big.campus.edu radius.auth2[16448]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 18 (0s wait, 0s elapsed, 0s total)"
"2015-06-19T11:43:50.585897-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 18 (0s wait, 0s elapsed, 0s total)"
"2015-06-19T11:11:52.456340-05:00 radius5.big.campus.edu radius.auth1[16287]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 8C-3A-E3-97-67-37 via 172.21.128.74:00-90-0B-28-85-E3:CampusNet id 136 (0s wait, 0s elapsed, 0s total)"
"2015-06-19T11:07:40.759995-05:00 radius4.big.campus.edu radius.auth1[1277]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 8C-3A-E3-97-67-37 via 172.21.128.196:00-90-0B-28-87-43:CampusNet id 155 (0s wait, 0s elapsed, 0s total)"
